"ListPrice","Bedrooms","TotalBaths","Style","Age","LotSize","SQFT","Taxes","IsFixerUpper","Elementary","JrHigh","High","Subdivision","City","County","Fireplace","FloodPlain"
109000,2,2,"2 Story",6,0.02,1082,706,"No","KENNEDY 321EL ","MADISON 321JH ","MADISON 321HS ","LEGACY","REXBURG","Madison","No","U"
339000,6,4,"1 Story",5,0.3,4240,4455,"No","ADAMS 321EL ","MADISON 321JH ","MADISON 321HS ","Hidden Valley","REXBURG","Madison","Yes","U"
249500,6,4,"1 Story",2,0.5,3200,2833,"No","BURTON 321EL ","MADISON 321JH ","MADISON 321HS ","CEDAR BUTTE","REXBURG","Madison","Yes","N"
139500,2,1,"1 Story",31,0.14,1111,584,"No","CENTRAL 322EL ","SUGAR SALEM 322JH ","SUGAR SALEM 322HS ","SUGAR CITY","SUGAR CITY","Madison","Yes","U"
221000,4,2,"1.5 Story",10,1,2022,1318,"No","KENNEDY 321EL ","MADISON 321JH ","MADISON 321HS ","WILLOWBROOK","REXBURG","Madison","No","N"
176900,5,3,"Split Entry",7,0.22,2162,1299,"No","ADAMS 321EL ","MADISON 321JH ","MADISON 321HS ","STONEBRIDGE","REXBURG","Madison","No","N"
249900,5,3,"1 Story",4,0.51,3068,2025,"No","KENNEDY 321EL ","MADISON 321JH ","MADISON 321HS ","WILLOWBROOK","REXBURG","Madison","Yes","N"
124900,4,2,"2 Story",60,1.3,2350,785,"No","CENTRAL 322EL ","SUGAR SALEM 322JH ","SUGAR SALEM 322HS ","NONE","REXBURG","Madison","Yes","N"
96900,2,1,"2 Story",7,0.16,890,630,"No","KENNEDY 321EL ","MADISON 321JH ","MADISON 321HS ","CONTINENTAL PARK","REXBURG","Madison","No","N"
155000,5,2,"1 Story",36,1,2408,1088,"Yes","HIBBARD 321EL ","MADISON 321JH ","MADISON 321HS ","STEINER","REXBURG","Madison","Yes","U"
235000,4,2,"1 Story",32,1.5,2220,906,"No","MIDWAY 251EL ","RIGBY 251JH ","RIGBY 251HS ","NONE","MENAN","Madison","Yes","U"
104900,2,1,"1 Story",6,0.04,840,735,"No","KENNEDY 321EL ","MADISON 321JH ","MADISON 321HS ","ROCKY MTN WAY SUB","REXBURG","Madison","No","N"
137000,5,2,"1 Story",34,1.71,3600,637,"No","KENNEDY 321EL ","MADISON 321JH ","MADISON 321HS ","NONE","REXBURG","Madison","Yes","U"
199900,5,3,"Split Entry",36,1,2500,846,"No","ADAMS 321EL ","MADISON 321JH ","MADISON 321HS ","NONE","REXBURG","Madison","Yes","U"
249900,5,3,"1 Story",31,0.42,3726,2110,"No","LINCOLN 321EL ","MADISON 321JH ","MADISON 321HS ","ROLLING HILLS","REXBURG","Madison","Yes","N"
309000,5,3,"2 Story",9,1.19,3491,2314,"No","HIBBARD 321EL ","MADISON 321JH ","MADISON 321HS ","SUNRISE MEADOWS","REXBURG","Madison","Yes","N"
124900,3,2,"2 Story",2,0.02,1460,1848,"No","KENNEDY 321EL ","MADISON 321JH ","MADISON 321HS ","MEADOWS","REXBURG","Madison","No","U"
119900,2,2,"2 Story",5,0.02,1288,866,"No","LINCOLN 321EL ","MADISON 321JH ","MADISON 321HS ","RIVERWOODS TOWNHOUSES","REXBURG","Madison","No","N"
111500,2,2,"2 Story",5,0.07,1230,1263,"No","KENNEDY 321EL ","MADISON 321JH ","MADISON 321HS ","RIVERWOODS TOWNHOUSES","REXBURG","Madison","No","U"
204900,3,2,"1 Story",0,0.22,2860,548,"No","KENNEDY 321EL ","MADISON 321JH ","MADISON 321HS ","HENDERSON SUB","REXBURG","Madison","Yes","N"
369000,4,4,"1.5 Story",6,1.84,4327,2800,"No","BURTON 321EL ","MADISON 321JH ","MADISON 321HS ","BUTTE VIEW","REXBURG","Madison","No","Y"
128000,3,2,"2 Story",2,0.01,1460,NA,"No","KENNEDY 321EL ","MADISON 321JH ","MADISON 321HS ","MEADOWS","REXBURG","Madison","No","U"
128000,3,2,"2 Story",2,0.01,1460,NA,"No","KENNEDY 321EL ","MADISON 321JH ","MADISON 321HS ","MEADOWS","REXBURG","Madison","No","U"
399900,6,4,"1.5 Story",4,1.03,5206,3792,"No","HIBBARD 321EL ","MADISON 321JH ","MADISON 321HS ","SAGE HILL","REXBURG","Madison","Yes","N"
183500,3,2,"1 Story",2,0.2,2632,2748,"No","KENNEDY 321EL ","MADISON 321JH ","MADISON 321HS ","HENDERSON SUB","REXBURG","Madison","No","N"
